content_type,creation_time,hashtags,id,is_branded_content,lang,match_type,mcl_url,modified_time,multimedia,post_owner.id,post_owner.name,post_owner.type,post_owner.username,statistics.comment_count,statistics.like_count,statistics.views,statistics.views_date_last_refreshed,text
albums,2025-11-13T22:58:26+00:00,"[""1""]",27127889526849949,false,en,"[""post_text""]",https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/instagram/post/27127889526849949/,2025-11-13T22:59:24+00:00,"[{""id"":""993416640069700"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZs1qCEE4LgUtnFNEd2LhcPOV7ipxxAte47QEDBy501tK5_fvrGI9ePs95mvtbhsnnVr8iuN-l5p4itvXDOPoQ_YfYXGth_nXnbj1LhwdjnCO1oODfrupAQh4jdh_fvm5_NiMUgSGxFxxK0a2Ao""},{""id"":""2010751843169009"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZt3TSQZszOmSByr109NRNNz_OaLbtVl-NjM4ir-V-B_kW1olhm0sKUs2ZsVtlkh7DBcleMFD3ls-IYaxSGs3k6QBkk0hTX-skNCFvhq_obXzrNkr8CkogKftkA_WOzBGJ1DX1-SbwpENOwtaGiY""},{""id"":""1650457259519188"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZt6-kxbF3qalpUa-23wMiK-tooXkK0kcEqLdd88B1dW_XZmBVLBtkwlLuT7etlC_5kuxbDVxrqhWmyJLEftFYIv6cvvK4J-8LJL0uDiOJGTf_C2r-3A8g7OINgYZnN93mLQ7AxcVZeGgSbboVYJ""},{""id"":""1592446925182802"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZuDAfV4LDYJLXktRj4LVXdZzcQVaVjlT11CMWXFu1crOhikHwkVNxXNjuzRHtOHAtHYsdfBF-844FFqQ4GslIZsniJ31MXj3a8kcYlDocooBJjahISWet2oE6egpabdB1oG0txv4J4Q_4-va8a4""},{""id"":""1511502120463788"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZssmQ2eEZaYkZdIGY3_tQTplcEIENP6L4YZRzqEFw6efXfzzDo15i0YI8mwCL0w23Kayelx-bElp9xX4iCG32cpv7PiNfPIThsJN4mVej9-54uJj19SZf0Ats9_WcbCsf4KRhAuewedmejrnhnS""},{""id"":""2025035324756706"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZuKaAWpugptfjAchQ3syu94hWyDSft6xuCl1quXwWPMCpFksASOW4Znuujvv1eYamGxn78iFSjZx0iAgLiUIw3N5OLrISZghC8mmbf3K0E2c29HXQU8IqQ9r8W6MxIdGuCas8XayPTZp39Hg09O""},{""id"":""1513087367128310"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZs6wjkXd1r1Aw3ZoUJeFB5WC0qF4R1ON7-4zDABNuVRAQd2hN9tN64kHmzFZzS2IgsqlEXfRDzG76jRlJ293olEBuBatEcaFX7BkSaZWBQsVmoZN_mG72ytIgZhsgKNVuLuFGfbdWnJXwzkkRUz""}]",7440718489305156,"Dr. Brittany | Acupuncture | Fertility | Pregnancy | Motherhood",creator,doctor.mamabear,10,32,921,2026-05-22,"Most mamas are told to wait on allergen foods…
but research (and clinical practice) shows the opposite 🤎

Introducing small, warm, cooked forms of dairy, gluten, fish, eggs & nightshades in the first year helps your baby build tolerance, lowering the risk of allergies and intolerances later on.

Think:
✨ a splash of warm milk in congee
✨ soft poached eggs
✨ baked salmon
✨ a tiny bite of warm sourdough
✨ roasted tomato or potato

Breastmilk stays #1 🤱🏼these foods simply help educate your baby’s immune system in a gentle, TCM-aligned way.

Want the full step-by-step?
Comment NOURISHED BABY and I’ll send you my Nourished Baby’s First Foods Guide 🤎

And if you want personalized support for your little one,
book a TCM & Acupuncture appointment through the link in my bio.

With love,
Dr. Britt 🤎🌼"
albums,2025-11-13T22:02:06+00:00,,1022065817434502,false,en,"[""post_text""]",https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/instagram/post/1022065817434502/,2025-12-23T09:15:56+00:00,"[{""id"":""954924990679364"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZvq1Xi7kJiczCn2ECoicquqr6m0ANWZtE9KRkiZaTnANF_m6cbnp2gbhpFisXTRqzARqFUKxZbwzq2JDV71qNjSrhhR1nlirLYRec9Iuu0svejEJdkqdcBa7l4Em_kTu-MvO1-rLqx0U6jI5i4""},{""id"":""2767897373566809"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZvU5Z-caR5QLFJiGsB63Nc6YFVHPysmJ79Rof7vFYGwXajAC4PdWhxL17f0Rt6qi4UoeiTmbQR5rc-7EzgrpxI-Tn2UhiLuE0kPCNLTVORzR_0h0nYI2Unc2rO23P5zBLSsu3UKa8sBDl33ylNt""},{""id"":""1555766215980327"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZtR43Lq1akAHVNjIz6y6WLDnxuufUYYxkugaa47mtWHZRuJvviAuqdfaCmQ6qTCpZ2rnoQrGCSXcCUD9jWHFRqhbEvAVTZZss3SC80jXo5KY7tvrcnFiBrQnX0yc3KrBSVymBb5jkdGPLDHEObu""},{""id"":""874210179042051"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZu1sRSvJz_lqzFjjsiOf_kfCALkznfdmaTaOwV887MMYZxuIb_-T47FTBcPCxuDyjNMK5h6cVpo-qN_YuaS4YR2T1Z_JcA92rptUNMuk4E5tggxEie0mUigfeWd5FAPpnxLx_D3CrR0D3x8nOU""},{""id"":""1230973185620319"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZt-dMGVlCTyRcrbhNUWYosxyjpyDzF7MJkVuI0V6suWuT679KlnZf6QGzayH7_KeLKtuavvkYoiY6zvcgzh2u1qoBl38G5nn0O2rRgIow7R77V0B2V1tIipXqVy2exIIb6BzIHTSf3KcUCPjG2D""},{""id"":""964902516169000"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsWc3Jkl3r-pvluJKbJZv6qguBuC41sUSMjeQv_wW013S3DwxbrXCfv5n2YEB6b6L7723u4_gEdU2motycLsO5imVafKUFTr58rmMNh1v7OKaCyGUJCdMzb08QfrnsC-Aa-8r-mhaycJ9518C8""},{""id"":""1852803425676754"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZtSgosbDXVExKg0wIOCjuLeHHiXV1p5muVx_CcuITGXggS_Eta6HbLJFf-oGCr2eax8VrU2qTeIUYXMBMVxzCeW2IgRceqdJ5s4QhknQOQitxYucMQGsMMnhDMvj7Ebmpd2607I8LkhyKkNRULW""},{""id"":""1734784834547393"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsCL8hBgMr1widSvkFohDXIdkw_54TxQNIyMpT9nNY4wWvSmV-8R3ZqWIVPFbJbPfNoa06RV4KdMEJoyCCo660z8HUBGzSjLoXrRAWy8aAUXdcjAlhouSIy6B6ipvQoTRDnnU3JsYxwNt5pmDm1""}]",1834772577120016,"Dave Casey",business,dave_casey_91,11,,8923,2026-05-22,"The New War Horse🐴 😈 -  SEVEN82MOTORS TCM Commodore.

I tell ya it’s been a heavy few weeks. We have had a lot thrown at us but we just made it by the skin of our teeth and we took the car for a few laps yesterday arvo and it trots along nicely. Can’t thank the men and women at Bendigo Retro Muscles Cars enough, for the incredible effort/no sleep and amount of hours to get this car on the grid this weekend and kept pushing when things where out of our control. The plan is to get our head around racing the car Friday/Saturday and then push harder Sunday. 

Big thanks to everyone involved and kept supporting this TCM program 👇🏻

Seven82 Motors
Finlease
All Heights Access
Dans Enclosed Towing
Dobinsons Springs and Suspension 
Central Queensland Building Certification 
Isenring
Filth Garage
RB Airconditioning
R and S Coldroom Hire
Gravel Empire
Warspeed Industries
Miners Arms Torbanlea
G2 Print Systems
CIK Motorsports
Apex Aerial / R-Mach Aviation
Prkn Watches
All Sorts Mechanical
Bendigo Retro
Barnseys Trailer and Truck Sales
Venture Signs
Brandon Perkins 
Lg 
Robos"
videos,2025-11-13T21:34:56+00:00,,1564262614583311,false,en,"[""post_text""]",https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/instagram/post/1564262614583311/,2025-11-16T11:55:15+00:00,"[{""id"":""1564262614583311"",""type"":""video"",""duration"":78.71,""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZvjpQNMPy065B3o1hNHA6AkLn3_Tvb9hA3kcB8SkUc2YzoHXqZe3h-eodm-QgIKT67cWKz7TlyuuGh6ZBsDbTgXKG9Fn2uMb3NLieRk4SgzECKajt8TJHBmyICLlkrsWfaUZXyYgu4p38KewnLE""}]",4203096430017796,"Catarina Oliveira",creator,oliveiracatarina,0,11,347,2026-05-22,"You should really be eating warm food. 
In Traditional Chinese Medicine this is non negotiable, and there’s also research backing it up.

There’s a study in Appetite (2021, ID 105069) showing that simply serving food warm increases fullness and helps people make better food choices. Literally just the temperature changes how satisfied you feel.

Another study in the British Journal of Nutrition, compared Asian and Western eating habits and found something interesting. People who regularly eat warm meals have fewer digestive issues and fewer “cold stomach” symptoms after eating.

And  this is exactly what TCM has been saying forever. Your stomach works like a warm little pot. If you keep cooling it down with iced drinks or cold raw foods, you weaken the fire that drives your digestion. Your Spleen Qi drops, dampness will build up, and you start to feel heavy, bloated, puffy, and sluggish.

When digestion slows, your skin feels it too. Sagging, dullness, puffiness, slow metabolism,  it’s all connected.

So try choosing warm, cooked meals. Soups, porridges, stews, steamed vegetables. Even room temperature water (as long as the room is warm not frigid) is kinder to your system than anything iced. Give it a week and your digestion, energy, and blood will improve."
albums,2025-11-13T21:04:33+00:00,"[""tattoos"",""txtattoo"",""thetexaschainsawmassacre"",""tcm"",""leatherface"",""tattootx""]",971250505875088,false,en,"[""post_text""]",https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/instagram/post/971250505875088/,2025-11-29T17:16:52+00:00,,1501838428050873,"CHRISTIAN FLORES",creator,christianflorestattooer,10,98,11665,2026-05-22,"LEATHERFACE… This tattoo is special. Beyond the aggressive vibe of terror, it reminds me that there are no real barriers: not language, not character, not personality. You can always connect with someone when you share the same passion.
Thank you, Rob, for the Alex Grey signature on the TOOL album. That piece will stay in my collection for life.

@thetexaschainsawmassacre 

#leatherface #thetexaschainsawmassacre #tcm #tattoos #tattootx #txtattoo #tattoos"
photos,2025-11-13T20:59:23+00:00,"[""amaviwellness"",""calgarytcm"",""yycherbs"",""herbalhealing"",""holistichealth"",""chineseherbalmedicine"",""traditionalmedicine"",""yycwellness"",""calgaryacupuncture"",""integrativemedicine"",""naturalhealing"",""acupuncturecalgary"",""tcmherbs""]",3645286768940969,false,en,"[""post_text""]",https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/instagram/post/3645286768940969/,2025-11-13T21:00:15+00:00,"[{""id"":""3645286768940969"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZtfGj-yWU2JA6eJDi37X8Pl-p8FIms0Fh4LhCFq59_y93F79eNiRb6riVJluwUpjxzf_IJCNz9BVzYj7hxKEbtprH6eNGNdOlnEVPmCwpmocgEhczh-YhHgE9618rxPT3eF78U8vzClJPyTFZWy""}]",1142105050653536,"calgary acupuncture | facials | wellness | laser",creator,amaviwellnessclinic,12,,10126,2026-05-22,"✨ Traditional remedies, modern results ✨

Holding one of my favourite TCM patent herbal formulas and a reminder that at Amavi Wellness, we offer pre-made herbal pills, custom teas, and granule formulas so there is truly something for everyone. Whether you prefer convenience, tradition, or a tailored blend, we can match your herbs to your body.

Chinese herbal medicine has been used for thousands of years to support the body’s natural healing systems. It helps balance hormones, improve digestion, calm stress, boost energy, support skin health, regulate cycles, ease pain, support fertility, and so much more. 🌿

Every formula has a purpose and a story behind it. With the right assessment, we can address almost anything with the right herbs.

✨ Balance. Restore. Rebuild.
✨ Heal from Within

Disclaimer
Herbal recommendations are not one-size-fits-all. Always book a consultation before starting any herbal formula to ensure safety and proper diagnosis.

#AmaviWellness #CalgaryTCM #CalgaryAcupuncture #ChineseHerbalMedicine #TCMHerbs #HolisticHealth #YYCWellness #HerbalHealing #TraditionalMedicine #AcupunctureCalgary #YYCHerbs #NaturalHealing #IntegrativeMedicine"
photos,2025-11-13T19:35:30+00:00,"[""tcvmfoodtherapy"",""foodtherapy"",""tcmfoodtherapy"",""tcm"",""caninenutrition"",""tcvm""]",802185692775355,false,en,"[""post_text""]",https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/instagram/post/802185692775355/,2025-11-14T00:36:40+00:00,"[{""id"":""802185692775355"",""type"":""photo"",""tags"":{""0"":""1104565397727349"",""1"":""non_public_1500352227991788""},""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZt0n5IbqaT5w1IeS0AxPNn5IUg01GtWhTthfpNFRoSJ3W3aVQPiLLQWBPEKGppgiB35MhEtBzRsn7wKMiaWmI01fNuCpZsptSNbBJfC96skdzZCaOlOK_qN4hrP4TvRs2VACpdWz2gXBVjBrA0""}]",900118045418307,"TCVM Canine Nutritionist",creator,dailydogfoodrecipes,7,84,3158,2026-05-22,"Protein builds.  Veggies moves and add directional quality to the food you feed.  Let’s say you’re making a meal for your dog and using beef.  And your dog seems to have a greasy coat and runs hot. 

Then you can consider adding these veggies to their next batch.  Leafy greens can be blended.  Mushrooms have to be steamed/cooked. 

Want to learn more?  Visit my website: 
https://dailydogfoodrecipes.com/tcvm-food-therapy-transform-your-dogs-health-naturally/

#tcvmfoodtherapy #tcmfoodtherapy #tcvm #tcm #foodtherapy #caninenutrition"
videos,2025-11-13T19:31:03+00:00,"[""qiboostingtea"",""tearecipe"",""tcmwellness"",""traditionalchinesemedicine"",""gojiberrytea"",""herbaltea"",""honeytea"",""chineseherbs"",""fallwellness"",""americanginsengtea"",""energytea"",""tcmrecipes"",""chinesesouplady""]",1253779863224685,false,en,"[""post_text""]",https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/instagram/post/1253779863224685/,2025-11-17T10:01:09+00:00,"[{""id"":""1253779863224685"",""type"":""video"",""duration"":14.44,""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZuJILNKp0N4mtcVq2Zt7IyizmfxrS9mB9Mi8raq4IN3xcVVwvcVd8pkwVXMmenuysI6wmY6aUEVSg8x2UGx-BoF9geeSc89lguTLvZoIYI-syeeoKBJbpWBcqOzJZtk9z5-b9ap5J50aCUuivmc""}]",1572294073783951,"The Chinese Soup Lady",creator,thechinesesouplady,10,264,22791,2026-05-22,"❤️

Replenish your Qi and Energy with this American Ginseng & Goji Berry Honey Tea! 🍵✨

Today, we’re making a deeply nourishing wellness tea using dried American ginseng flakes, dried goji berries, and a touch of honey. This is one of my favourite gentle, restorative teas—perfect for boosting your Qi, supporting energy levels, and calming the body from within.

What’s in this recipe?
• 10 pieces of American ginseng flakes
• 15 dried goji berries
• 2 cups of water
• Honey to taste

This tea is especially great for:
✔️ Supporting Qi and energy
✔️ Nourishing Yin and calming the mind
✔️ Enhancing focus and reducing fatigue
✔️ Mild tonifying without overheating the body

In Traditional Chinese Medicine (TCM), American ginseng is cooling, nourishing, and known for replenishing Qi while generating body fluids. Meanwhile, goji berries nourish the liver and kidneys, support the eyes, and gently tonify Yin. Together, they make the perfect everyday wellness combo.

How to make it:
Bring everything to a gentle simmer, let the flavours infuse for 3–5 minutes, and sweeten with honey when it cools a bit. Drink warm for best results.

If you love natural Chinese wellness, energy-boosting teas, and TCM-friendly recipes, don’t forget to like, subscribe, and follow along for more soups, teas, and tips!

Full recipe here: https://www.theChineseSoupLady.com

#AmericanGinsengTea #GojiBerryTea #TCMWellness #QiBoostingTea #ChineseHerbs #EnergyTea #HoneyTea #ChineseSoupLady #TCMRecipes #FallWellness #TraditionalChineseMedicine #HerbalTea #TeaRecipe"
photos,2025-11-13T19:01:01+00:00,"[""actionfigure"",""texaschainsawmassacre"",""horror"",""tcm"",""neca"",""leatherface"",""horrorcollector""]",4058270670974347,false,en,"[""post_text""]",https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/instagram/post/4058270670974347/,2025-11-13T19:31:39+00:00,"[{""id"":""4058270670974347"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZvVS36PnKIXd29msNDFnI5BERFbhahmgJx3ceZhzROzDvlGw3PWlDuiqA-Qu2_bq0O9wWSf2xK2YN3ldgOC1KvXg5japAe0qn-3p3LShjNfdjU7ZH9a1m2ZBKyVrB95Rhu3YYrInCuks9Va--ID""}]",472469065155496,"NECA Toys",business,necaofficial,17,1193,74104,2026-05-22,"The family dinner is about to begin… NEW Leatherface + Leatherface with Old Lady Mask 8"" Clothed Action Figures are dropping NOW on theNECAStore.com! These figures are to die for.... 🪚

#TexasChainsawMassacre #Leatherface #NECA #actionfigure #tcm #horror #horrorcollector #actionfigure"
videos,2025-11-13T19:00:17+00:00,"[""cybersecurity""]",1525172265687775,false,en,"[""post_text""]",https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/instagram/post/1525172265687775/,2025-11-16T22:00:25+00:00,"[{""id"":""1525172265687775"",""type"":""video"",""duration"":83.22,""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZuXvojvmk74z2yNQvc1pLllshao--7crpQ_rQl-C4cnMALScABW7_RiO2gQ56cfmhhsiOIIncPrkrcdeNO_yWcGxzjxbD-V3J7yP4V8TmsFp7_pHyIvzI9KglS1S3q4cS55050x9jmQSnPbxC6l""}]",310179251829377,"TCM Security",business,tcmsecurity,0,578,16500,2026-05-22,"Walk step by step through the process of setting up for a PCAP investigation in this blue team short from Andrew Prince. He shares his approach, and you can start applying his techniques as you ready your own #cybersecurity investigations today. 

Space is filling up for Andrew Prince's upcoming SOC Level 1 Live Training - so if you want to get the crucial knowledge to thrive in SOC Tier 1 - 2 roles, now's your chance! 

We also have a more advanced SOC Level 2 Live coming up in December. https://www.tcm.rocks/socliveigs-2025"
albums,2025-11-13T17:47:20+00:00,,1506739297245060,false,en,"[""post_text""]",https://www.facebook.com/transparency-tools/content-library/dataset/1119037145491882/instagram/post/1506739297245060/,2025-11-13T18:19:55+00:00,"[{""id"":""2149605662249014"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsRD2hcEtfeJ5Uor-731zkZhgI2K8l8QFViyDnbFjyUqpu7OCMKSMm_gJw8B8xDe-jOSsoR_IBs-3I5SDJ67AgcxY8Eg9GLKiyUiLp3mqvkGcu59kQVe27-8EqV9B8VQZ5mVUXrOesba3cyzRSS""},{""id"":""2102782430290371"",""type"":""photo"",""url"":""https://lookaside.facebook.com/mcl/multimedia/lookaside/?download_info=AZsDs22E-xmzppSls5WgbCGnqG609hqHraxP4oXtjvSeDtshiif0hotst2H7Abc9iCASXqjkQyvn35fia9lqCUCsISqN9n9OhjW0DH8UZTUbX-cKY4GXtMjZ2dUPXwSo7HxbA0VM58v-bhPlputC""}]",1096846998276581,"Dr. Lily Choi ☯︎ D. Ac, L. Ac",business,lilychoinaturalhealing,410,1522,64634,2026-05-22,"In Traditional Chinese Medicine (TCM), the Liver and Gallbladder meridians flow directly through the chest and around the breasts. The Liver meridian travels up the inside of the body from the legs, encircles the genitals, ascends through the abdomen and chest, and spreads into the area surrounding the breasts. The Gallbladder meridian, its paired Yang channel, runs along the sides of the body and passes through the lateral chest and breast region.

When Liver Qi becomes stagnant— often from stress, frustration, or emotional repression, it can block the smooth flow of Qi and Blood through these channels, leading to breast tenderness, swelling, cysts, or nodules. Supporting the free flow of Liver Qi is essential for breast and hormonal health.

When Qi flows smoothly through the meridians, we experience balance: clear emotions, good digestion, proper hormone function, and pain-free movement. But when Qi stagnates or becomes blocked, the area it passes through begins to suffer, leading to pain, tension, swelling, or dysfunction.

〰️ Comment FLOW and I will send you a link to my Liver Recharge formula, the best herbal blend for smoothing the flow of our Blood, Qi, and emotions, helping to relieve stress and strengthen the Liver as well as a link to my Gallbladder Rescue formula to help emotions even further. 💚"
